dataset.num,variable,level,year,satt,lower90,upper90
0001,Overall,NA,3,17.502517980310586,-11.259792127017,45.969963617646215
0001,Overall,NA,4,30.30125000267674,-15.784031188460617,69.49901944936764
0001,Overall,NA,NA,23.43872348215916,-9.643683593390882,53.00727975107175
0001,X1,0,NA,-5.447354638604281,-57.43884037393262,50.15275888836672
0001,X1,1,NA,41.30845360196486,-4.871108077044084,83.03451979092014
0001,X2,A,NA,47.45626053702779,9.22111425956544,90.94240340539795
0001,X2,B,NA,-9.6379097883010445,-87.32165375738258,56.02760875737623
0001,X2,C,NA,44.2009239277229,-8.325443935393992,103.4989592662325
0001,X3,0,NA,23.439125513647017,-22.05246919728478,68.61151252217498
0001,X3,1,NA,35.91039806952534,-7.331673293659662,74.59727003513011
0001,X4,A,NA,18.12335795818171,-20.73594762151432,52.07532550169465
0001,X4,B,NA,76.36794684613659,-2.12631447827701,165.9585910377174
0001,X4,C,NA,18.288260221861208,-74.3401570469845,108.41833641732134
0001,X5,0,NA,-2.6053342451800745,-44.56906005547915,42.36084975875997
0001,X5,1,NA,57.23219009659016,12.97032075119715,104.60345022534364
0002,Overall,NA,3,0.3708835461349622,-23.74042457128369,28.85651209193635
0002,Overall,NA,4,-8.433078313245346,-44.62666159930873,28.921345344186
0002,Overall,NA,NA,-3.7223912249068576,-30.684754552058852,24.968291104130778
0002,X1,0,NA,-20.43237931458725,-60.948558673727035,13.30395562891276
0002,X1,1,NA,10.320140725195245,-22.303940789243093,48.88317477792756
0002,X2,A,NA,-9.441349454927716,-49.77727465339737,33.1701654101295
0002,X2,B,NA,30.44962557792439,-19.452648523796753,86.62374035003688
0002,X2,C,NA,-2.2559722083627776,-67.46104549329908,65.52089387081759
0002,X3,0,NA,10.079721984290586,-32.42308915194148,58.310791208567714
0002,X3,1,NA,-9.324542076791658,-39.32792305160816,22.750585949078044
0002,X4,A,NA,-1.3284388619124456,-30.167583572124546,29.576164444813188
0002,X4,B,NA,-17.15811996260419,-125.04619784585046,89.8283462370038
0002,X4,C,NA,-5.7346765111076365,-96.71884079887298,95.69986097788136
0002,X5,0,NA,-11.40989309777433,-47.459779920804806,26.099705544983692
0002,X5,1,NA,10.675963568989571,-22.409660211853097,47.756133193306255
0003,Overall,NA,3,-40.3335055525385,-74.8704100763251,-4.8702147287493744
0003,Overall,NA,4,-21.63789273205975,-67.67380694745273,27.94878179098949
0003,Overall,NA,NA,-31.52664434174744,-63.9672411749891,3.5245047576810578
0003,X1,0,NA,-48.39640813873143,-103.47053213540124,2.7929517431073663
0003,X1,1,NA,-27.62464549207516,-78.03226205784603,31.489533660390492
0003,X2,A,NA,-20.22512912734925,-80.63648264805624,41.80961763855397
0003,X2,B,NA,-10.63877841068637,-75.52560662919142,62.35182388815283
0003,X2,C,NA,-74.06544049587558,-133.60024533744496,-7.692135333042899
0003,X3,0,NA,-28.999857089947454,-76.3462535193423,34.29923338045124
0003,X3,1,NA,-30.700752965451613,-83.46193081950281,20.991087325529605
0003,X4,A,NA,-19.611461421012905,-60.29084395129004,26.669181572429693
0003,X4,B,NA,-94.62288235421032,-197.1803948319813,-14.460510738453678
0003,X4,C,NA,-83.84955320602245,-306.42748234562356,302.73064050792055
0003,X5,0,NA,-29.08688156990405,-73.25078621307684,13.36313271468356
0003,X5,1,NA,-46.76717676977921,-93.5750379163974,5.264028570662489
0004,Overall,NA,3,16.69071051487623,-23.52396993724546,60.27550585739991
0004,Overall,NA,4,14.438243351609117,-50.337570839421005,82.87881349532238
0004,Overall,NA,NA,16.009330546983392,-30.867361593724063,66.12809277119285
0004,X1,0,NA,-4.453579143613183,-83.98972441868278,64.4090523947653
0004,X1,1,NA,22.8015561293912,-35.72494225908609,82.62212898712019
0004,X2,A,NA,22.837691036828573,-49.76708648766345,98.79748870650572
0004,X2,B,NA,-6.815904831166051,-79.41801400461773,71.13937593061443
0004,X2,C,NA,-49.03584473154984,-181.25395493464535,63.03450631702606
0004,X3,0,NA,16.582778842942048,-53.77537253447949,82.28072446234242
0004,X3,1,NA,12.366966038310125,-44.15268494790564,78.1746681269616
0004,X4,A,NA,19.306043597759356,-32.188079160920296,70.09481866122678
0004,X4,B,NA,-90.7343992133438,-290.99215604528797,72.54306026894659
0004,X4,C,NA,-62.646788399336174,-271.51901806055025,282.7368051643694
0004,X5,0,NA,18.38638985505554,-47.71139451030791,88.07117224997708
