dataset.num,variable,level,year,satt,lower90,upper90
0001,Overall,NA,3,17.502517980310586,3.0704330836627705,34.46932736298784
0001,Overall,NA,4,30.30125000267674,8.334842121757987,50.47933929032365
0001,Overall,NA,NA,23.43872348215916,9.141226072355837,37.245174927637024
0001,X1,0,NA,8.017739769851914,-12.406806734536488,28.978878085964674
0001,X1,1,NA,34.934273080771106,17.661091290156442,52.28161457576439
0001,X2,A,NA,18.368828000689177,-4.385955766231,42.433349317406424
0001,X2,B,NA,33.5161842238893,12.69933698887155,57.64866614764449
0001,X2,C,NA,27.232744539248927,0.3375464993954935,54.7368688892607
0001,X3,0,NA,12.484680166054773,-7.828576991967857,34.34737266217127
0001,X3,1,NA,44.458821390120306,25.22146338667234,63.2800329761131
0001,X4,A,NA,7.405648720124987,-9.580654576137132,24.500707708272188
0001,X4,B,NA,80.31146174052549,55.49333140434001,106.54789639473304
0001,X4,C,NA,45.27867666912476,3.2409172228280596,85.53355164764002
0001,X5,0,NA,3.0010099068441036,-18.483750923112925,24.378763341494462
0001,X5,1,NA,43.353953689301534,25.211428997761928,63.4829803462832
0002,Overall,NA,3,0.3708835461349622,-13.928724243746066,16.151166205565175
0002,Overall,NA,4,-8.433078313245346,-27.37024274213652,9.571640419916932
0002,Overall,NA,NA,-3.7223912249068576,-16.82336849672778,10.11423051191504
0002,X1,0,NA,-19.39374534444005,-37.417599278207426,-0.9797859559186506
0002,X1,1,NA,7.355879347385326,-11.234577256045934,27.322140674903405
0002,X2,A,NA,-30.996586687399656,-50.89924767289095,-7.215174144593796
0002,X2,B,NA,3.486100829154907,-17.51937544103983,23.989614698082523
0002,X2,C,NA,31.37923309609306,6.718410990315654,57.15807307167489
0002,X3,0,NA,-6.173941668372208,-26.85456507840663,15.525196180554058
0002,X3,1,NA,-0.8542824692287354,-17.01763269031484,16.421307160553482
0002,X4,A,NA,-2.870818370406937,-17.551373330563514,11.270935394170198
0002,X4,B,NA,43.34443212812175,6.787583989787763,85.74167294572422
0002,X4,C,NA,-38.903710289379205,-70.40078417495275,-4.162803784031624
0002,X5,0,NA,-3.12256084177983,-23.554508481680813,16.70710477305632
0002,X5,1,NA,-0.13660845331520477,-17.135741863125837,17.50957203649754
0003,Overall,NA,3,-40.3335055525385,-59.12186818825137,-20.809677045394047
0003,Overall,NA,4,-21.63789273205975,-44.17201622502263,3.025775195412116
0003,Overall,NA,NA,-31.52664434174744,-48.09960998179966,-15.481314230841306
0003,X1,0,NA,-33.77867859058637,-57.93663933297261,-9.178793659528822
0003,X1,1,NA,-32.174871128199186,-55.25587528414535,-9.126249635876777
0003,X2,A,NA,-36.80664439772664,-63.597782475782665,-12.718851407435388
0003,X2,B,NA,14.88685849089859,-12.103063215809698,43.43760200464435
0003,X2,C,NA,-69.00701074603984,-101.70953313848426,-34.44217896963876
0003,X3,0,NA,-22.278410575132227,-48.05222357790556,3.4048958526103945
0003,X3,1,NA,-32.20663587519334,-53.04650854913541,-11.542549310851008
0003,X4,A,NA,-25.432177148671087,-43.11023962116026,-5.747180561898574
0003,X4,B,NA,-29.765662895797732,-69.31834344330036,10.969041603053626
0003,X4,C,NA,-115.38470400496408,-190.37585464079467,-27.883438382109546
0003,X5,0,NA,-14.152077098648192,-35.63228305166177,8.454036351438916
0003,X5,1,NA,-46.99635127127607,-71.44094748294808,-20.080605262998304
0004,Overall,NA,3,16.69071051487623,-8.503198392926485,36.93578893084298
0004,Overall,NA,4,14.438243351609117,-16.345592508709103,41.29616768176819
0004,Overall,NA,NA,16.009330546983392,-7.64468175314822,35.42053302456938
0004,X1,0,NA,-11.5539953520248,-43.35988410866459,16.19115339886706
0004,X1,1,NA,41.41119602907685,10.964055709818666,67.77309324584911
0004,X2,A,NA,40.574013789152616,10.290656568135333,70.2218853584122
0004,X2,B,NA,-21.755598513143923,-64.41694927520358,18.02244259490112
0004,X2,C,NA,28.31811578031835,-22.72989337157385,82.74203726449433
0004,X3,0,NA,29.400011340388915,-10.757227695395954,63.4191911290665
0004,X3,1,NA,9.773344102158433,-20.598312377167773,37.36794168359937
0004,X4,A,NA,25.238837732914703,-0.1819232420931911,47.19087582636749
0004,X4,B,NA,-51.1010056254388,-116.13404173389848,11.816086877409576
0004,X4,C,NA,57.04047378372661,-13.195670399510831,129.59277135417992
0004,X5,0,NA,37.88028612090386,5.5383883159624645,68.44101854581145
0004,X5,1,NA,-4.4569786818099715,-33.46345273857031,27.279063238411258
0005,Overall,NA,3,-41.87405694941884,-61.514065683996286,-21.064592553142845
0005,Overall,NA,4,-50.27611206790948,-73.59515682323288,-23.431830372049973
0005,Overall,NA,NA,-45.9137800718928,-62.87498130501764,-27.452751908616634
0005,X1,0,NA,-45.53332526976226,-67.90840470875554,-21.877871968128204
0005,X1,1,NA,-47.58037082945589,-74.99759696231762,-21.12014770712804
0005,X2,A,NA,-89.08909250330163,-118.73499169382484,-59.179068183832825
0005,X2,B,NA,-37.28241116515386,-66.98294846675466,-8.645100512622662
0005,X2,C,NA,26.26216428609166,-4.907748407706052,63.11420861101422
0005,X3,0,NA,-81.55486715901162,-107.54023731691352,-54.17095923241182
0005,X3,1,NA,-11.712425853446518,-32.806852167918706,13.06505903730084
0005,X4,A,NA,-56.1748849002783,-76.27788401295265,-34.97595576372558
0005,X4,B,NA,-0.4102140573509132,-39.5010425610794,37.23739027632114
0005,X4,C,NA,-115.77302094507228,-171.0480829921977,-58.74130317749902
0005,X5,0,NA,-69.24815775384701,-93.33069635744792,-46.99687340181731
0005,X5,1,NA,1.155144425043602,-23.939656784378354,29.08715177726588
0006,Overall,NA,3,-7.984589847372888,-24.01543053107615,8.2904116844174
0006,Overall,NA,4,17.127918267015616,-0.23336628246514124,37.444634749736146
0006,Overall,NA,NA,3.8370626799094794,-9.170499427376146,18.372282507185872
0006,X1,0,NA,38.297595310277075,18.75718070666292,60.57476525558954
0006,X1,1,NA,-31.4626995242146,-51.31572876697223,-11.960091296598186
0006,X2,A,NA,3.148573908253354,-20.675390347344155,27.099442596587345
0006,X2,B,NA,41.50257246963395,17.575563081729825,64.99117839972695
0006,X2,C,NA,-66.94270591399459,-97.34252089821764,-33.467297448188546
0006,X3,0,NA,10.450832748142432,-11.506724173291822,32.91520154675367
0006,X3,1,NA,-2.9554038603318986,-21.3595114847217,15.15589382357062
0006,X4,A,NA,-4.92603127944659,-20.94295637672041,12.185534174129964
0006,X4,B,NA,4.813190168805761,-36.15220212261371,45.877707346886965
0006,X4,C,NA,94.57406732268566,38.23282768690916,153.73641075203238
0006,X5,0,NA,-11.331319275335773,-29.182377520124486,9.323830339414986
0006,X5,1,NA,30.11832812451081,11.60239756230044,53.16678689790039
0007,Overall,NA,3,20.959036481557348,5.458946066285215,35.846463463901955
0007,Overall,NA,4,61.805846929441145,40.332232520554086,81.45364521215487
0007,Overall,NA,NA,40.133173552510016,26.04499927314516,53.87690558535502
0007,X1,0,NA,50.43809341854279,29.306686680679917,69.74223951124691
0007,X1,1,NA,29.201232639022976,8.748030200467355,49.88766985130099
0007,X2,A,NA,51.64765953700072,30.549885272319543,73.33012303638299
0007,X2,B,NA,22.50652854822266,-2.2968848553309087,47.21293556322174
0007,X2,C,NA,50.54107090095596,19.742179142114693,77.49884505765496
0007,X3,0,NA,30.6960983522373,9.749031185240312,53.64739940986384
